car	driveType	surface	path	value
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	drivetrain.gearsSet	AlfaRomeoGiuliaGTAJunior1300Set0
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	drivetrain.frontDiff.ratio	25//25
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	drivetrain.frontDiff.lsdRampAngle	N/A
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	drivetrain.frontDiff.lsdPlates	0
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	drivetrain.frontDiff.lsdPreload	0 Nm
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	suspension.frontARB	2500 N/m
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	suspension.springs.FL	200000 N/m
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	suspension.springs.FR	200000 N/m
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	suspension.springs.RL	26000 N/m
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	suspension.springs.RR	26000 N/m
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	suspension.rideHeight.FL	23.3 mm
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	suspension.rideHeight.FR	23.3 mm
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	suspension.rideHeight.RL	71.1 mm
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	suspension.rideHeight.RR	71.1 mm
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	dampers.FL.slowBump	3000
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	dampers.FL.slowRebound	5500
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	dampers.FL.fastBump	2000
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	dampers.FL.fastRebound	4000
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	dampers.FR.slowBump	3000
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	dampers.FR.slowRebound	5500
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	dampers.FR.fastBump	2000
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	dampers.FR.fastRebound	4000
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	dampers.RL.slowBump	750
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	dampers.RL.slowRebound	2500
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	dampers.RL.fastBump	500
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	dampers.RL.fastRebound	1500
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	dampers.RR.slowBump	750
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	dampers.RR.slowRebound	2500
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	dampers.RR.fastBump	500
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	dampers.RR.fastRebound	1500
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	tyres.FL.pressure	32 PSI
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	tyres.FL.camber	-1.5°
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	tyres.FL.toe	0.029°
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	tyres.FR.pressure	32 PSI
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	tyres.FR.camber	-1.5°
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	tyres.FR.toe	0.029°
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	tyres.RL.pressure	32 PSI
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	tyres.RL.camber	0°
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	tyres.RL.toe	0°
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	tyres.RR.pressure	32 PSI
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	tyres.RR.camber	0°
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	tyres.RR.toe	0°
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	brakes.brakeBias	50% front
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	brakes.propValvePressure	2.5
Alfa Romeo Giulia GTA Junior 1300	FWD	tarmac	brakes.handbrakeMultiplier	1
Alfa Romeo Giulia GTA Junior 1300	FWD	gravel	drivetrain.gearsSet	AlfaRomeoGiuliaGTAJunior1300Set4
Alfa Romeo Giulia GTA Junior 1300	FWD	gravel	drivetrain.frontDiff.ratio	25//25
Alfa Romeo Giulia GTA Junior 1300	FWD	gravel	drivetrain.frontDiff.lsdRampAngle	N/A
Alfa Romeo Giulia GTA Junior 1300	FWD	gravel	drivetrain.frontDiff.lsdPlates	0
Alfa Romeo Giulia GTA Junior 1300	FWD	gravel	drivetrain.frontDiff.lsdPreload	0 Nm
Alfa Romeo Giulia GTA Junior 1300	FWD	gravel	suspension.frontARB	2500 N/m
Alfa Romeo Giulia GTA Junior 1300	FWD	gravel	suspension.springs.FL	200000 N/m
Alfa Romeo Giulia GTA Junior 1300	FWD	gravel	suspension.springs.FR	200000 N/m
Alfa Romeo Giulia GTA Junior 1300	FWD	gravel	suspension.springs.RL	26000 N/m
Alfa Romeo Giulia GTA Junior 1300	FWD	gravel	suspension.springs.RR	26000 N/m
Alfa Romeo Giulia GTA Junior 1300	FWD	gravel	suspension.rideHeight.FL	23.3 mm
Alfa Romeo Giulia GTA Junior 1300	FWD	gravel	suspension.rideHeight.FR	23.3 mm
Alfa Romeo Giulia GTA Junior 1300	FWD	gravel	suspension.rideHeight.RL	71.1 mm
Alfa Romeo Giulia GTA Junior 1300	FWD	gravel	suspension.rideHeight.RR	71.1 mm
Alfa Romeo Giulia GTA Junior 1300	FWD	gravel	dampers.FL.slowBump	3000
Alfa Romeo Giulia GTA Junior 1300	FWD	gravel	dampers.FL.slowRebound	5500
Alfa Romeo Giulia GTA Junior 1300	FWD	gravel	dampers.FL.fastBump	2000
Alfa Romeo Giulia GTA Junior 1300	FWD	gravel	dampers.FL.fastRebound	4000
Alfa Romeo Giulia GTA Junior 1300	FWD	gravel	dampers.FR.slowBump	3000
Alfa Romeo Giulia GTA Junior 1300	FWD	gravel	dampers.FR.slowRebound	5500
Alfa Romeo Giulia GTA Junior 1300	FWD	gravel	dampers.FR.fastBump	2000
Alfa Romeo Giulia GTA Junior 1300	FWD	gravel	dampers.FR.fastRebound	4000
Alfa Romeo Giulia GTA Junior 1300	FWD	gravel	dampers.RL.slowBump	750
Alfa Romeo Giulia GTA Junior 1300	FWD	gravel	dampers.RL.slowRebound	2500
Alfa Romeo Giulia GTA Junior 1300	FWD	gravel	dampers.RL.fastBump	500
Alfa Romeo Giulia GTA Junior 1300	FWD	gravel	dampers.RL.fastRebound	1500
Alfa Romeo Giulia GTA Junior 1300	FWD	gravel	dampers.RR.slowBump	750
Alfa Romeo Giulia GTA Junior 1300	FWD	gravel	dampers.RR.slowRebound	2500
Alfa Romeo Giulia GTA Junior 1300	FWD	gravel	dampers.RR.fastBump	500
Alfa Romeo Giulia GTA Junior 1300	FWD	gravel	dampers.RR.fastRebound	1500
Alfa Romeo Giulia GTA Junior 1300	FWD	gravel	tyres.FL.pressure	32 PSI
Alfa Romeo Giulia GTA Junior 1300	FWD	gravel	tyres.FL.camber	-1.5°
Alfa Romeo Giulia GTA Junior 1300	FWD	gravel	tyres.FL.toe	0.029°
Alfa Romeo Giulia GTA Junior 1300	FWD	gravel	tyres.FR.pressure	32 PSI
Alfa Romeo Giulia GTA Junior 1300	FWD	gravel	tyres.FR.camber	-1.5°
Alfa Romeo Giulia GTA Junior 1300	FWD	gravel	tyres.FR.toe	0.029°
Alfa Romeo Giulia GTA Junior 1300	FWD	gravel	tyres.RL.pressure	32 PSI
Alfa Romeo Giulia GTA Junior 1300	FWD	gravel	tyres.RL.camber	0°
Alfa Romeo Giulia GTA Junior 1300	FWD	gravel	tyres.RL.toe	0°
Alfa Romeo Giulia GTA Junior 1300	FWD	gravel	tyres.RR.pressure	32 PSI
Alfa Romeo Giulia GTA Junior 1300	FWD	gravel	tyres.RR.camber	0°
Alfa Romeo Giulia GTA Junior 1300	FWD	gravel	tyres.RR.toe	0°
Alfa Romeo Giulia GTA Junior 1300	FWD	gravel	brakes.brakeBias	50% front
Alfa Romeo Giulia GTA Junior 1300	FWD	gravel	brakes.propValvePressure	2.5
Alfa Romeo Giulia GTA Junior 1300	FWD	gravel	brakes.handbrakeMultiplier	1
Alpine A110 1800	RWD	tarmac	drivetrain.gearsSet	AlpineA1101800Set1
Alpine A110 1800	RWD	tarmac	drivetrain.rearDiff.ratio	27//8
Alpine A110 1800	RWD	tarmac	drivetrain.rearDiff.lsdRampAngle	60_40
Alpine A110 1800	RWD	tarmac	drivetrain.rearDiff.lsdPlates	4
Alpine A110 1800	RWD	tarmac	drivetrain.rearDiff.lsdPreload	90 Nm
Alpine A110 1800	RWD	tarmac	suspension.frontARB	6750 N/m
Alpine A110 1800	RWD	tarmac	suspension.springs.FL	210000 N/m
Alpine A110 1800	RWD	tarmac	suspension.springs.FR	210000 N/m
Alpine A110 1800	RWD	tarmac	suspension.springs.RL	160000 N/m
Alpine A110 1800	RWD	tarmac	suspension.springs.RR	160000 N/m
Alpine A110 1800	RWD	tarmac	suspension.rideHeight.FL	15.0 mm
Alpine A110 1800	RWD	tarmac	suspension.rideHeight.FR	15.0 mm
Alpine A110 1800	RWD	tarmac	suspension.rideHeight.RL	13.0 mm
Alpine A110 1800	RWD	tarmac	suspension.rideHeight.RR	13.0 mm
Alpine A110 1800	RWD	tarmac	dampers.FL.slowBump	12000
Alpine A110 1800	RWD	tarmac	dampers.FL.slowRebound	30000
Alpine A110 1800	RWD	tarmac	dampers.FL.fastBump	9000
Alpine A110 1800	RWD	tarmac	dampers.FL.fastRebound	24000
Alpine A110 1800	RWD	tarmac	dampers.FR.slowBump	12000
Alpine A110 1800	RWD	tarmac	dampers.FR.slowRebound	30000
Alpine A110 1800	RWD	tarmac	dampers.FR.fastBump	9000
Alpine A110 1800	RWD	tarmac	dampers.FR.fastRebound	24000
Alpine A110 1800	RWD	tarmac	dampers.RL.slowBump	5000
Alpine A110 1800	RWD	tarmac	dampers.RL.slowRebound	20000
Alpine A110 1800	RWD	tarmac	dampers.RL.fastBump	3500
Alpine A110 1800	RWD	tarmac	dampers.RL.fastRebound	16000
Alpine A110 1800	RWD	tarmac	dampers.RR.slowBump	5000
Alpine A110 1800	RWD	tarmac	dampers.RR.slowRebound	20000
Alpine A110 1800	RWD	tarmac	dampers.RR.fastBump	3500
Alpine A110 1800	RWD	tarmac	dampers.RR.fastRebound	16000
Alpine A110 1800	RWD	tarmac	tyres.FL.pressure	32 PSI
Alpine A110 1800	RWD	tarmac	tyres.FL.camber	0°
Alpine A110 1800	RWD	tarmac	tyres.FL.toe	0°
Alpine A110 1800	RWD	tarmac	tyres.FR.pressure	32 PSI
Alpine A110 1800	RWD	tarmac	tyres.FR.camber	0°
Alpine A110 1800	RWD	tarmac	tyres.FR.toe	0°
Alpine A110 1800	RWD	tarmac	tyres.RL.pressure	32 PSI
Alpine A110 1800	RWD	tarmac	tyres.RL.camber	-2.5°
Alpine A110 1800	RWD	tarmac	tyres.RL.toe	0°
Alpine A110 1800	RWD	tarmac	tyres.RR.pressure	32 PSI
Alpine A110 1800	RWD	tarmac	tyres.RR.camber	-2.5°
Alpine A110 1800	RWD	tarmac	tyres.RR.toe	0°
Alpine A110 1800	RWD	tarmac	brakes.brakeBias	50% front
Alpine A110 1800	RWD	tarmac	brakes.propValvePressure	2.4
Alpine A110 1800	RWD	tarmac	brakes.handbrakeMultiplier	1
Alpine A110 1800	RWD	gravel	drivetrain.gearsSet	AlpineA1101800Set2
Alpine A110 1800	RWD	gravel	drivetrain.rearDiff.ratio	31//8
Alpine A110 1800	RWD	gravel	drivetrain.rearDiff.lsdRampAngle	60_40
Alpine A110 1800	RWD	gravel	drivetrain.rearDiff.lsdPlates	4
Alpine A110 1800	RWD	gravel	drivetrain.rearDiff.lsdPreload	90 Nm
Alpine A110 1800	RWD	gravel	suspension.frontARB	6750 N/m
Alpine A110 1800	RWD	gravel	suspension.springs.FL	210000 N/m
Alpine A110 1800	RWD	gravel	suspension.springs.FR	210000 N/m
Alpine A110 1800	RWD	gravel	suspension.springs.RL	160000 N/m
Alpine A110 1800	RWD	gravel	suspension.springs.RR	160000 N/m
Alpine A110 1800	RWD	gravel	suspension.rideHeight.FL	15.0 mm
Alpine A110 1800	RWD	gravel	suspension.rideHeight.FR	15.0 mm
Alpine A110 1800	RWD	gravel	suspension.rideHeight.RL	13.0 mm
Alpine A110 1800	RWD	gravel	suspension.rideHeight.RR	13.0 mm
Alpine A110 1800	RWD	gravel	dampers.FL.slowBump	12000
Alpine A110 1800	RWD	gravel	dampers.FL.slowRebound	30000
Alpine A110 1800	RWD	gravel	dampers.FL.fastBump	9000
Alpine A110 1800	RWD	gravel	dampers.FL.fastRebound	24000
Alpine A110 1800	RWD	gravel	dampers.FR.slowBump	12000
Alpine A110 1800	RWD	gravel	dampers.FR.slowRebound	30000
Alpine A110 1800	RWD	gravel	dampers.FR.fastBump	9000
Alpine A110 1800	RWD	gravel	dampers.FR.fastRebound	24000
Alpine A110 1800	RWD	gravel	dampers.RL.slowBump	5000
Alpine A110 1800	RWD	gravel	dampers.RL.slowRebound	20000
Alpine A110 1800	RWD	gravel	dampers.RL.fastBump	3500
Alpine A110 1800	RWD	gravel	dampers.RL.fastRebound	16000
Alpine A110 1800	RWD	gravel	dampers.RR.slowBump	5000
Alpine A110 1800	RWD	gravel	dampers.RR.slowRebound	20000
Alpine A110 1800	RWD	gravel	dampers.RR.fastBump	3500
Alpine A110 1800	RWD	gravel	dampers.RR.fastRebound	16000
Alpine A110 1800	RWD	gravel	tyres.FL.pressure	32 PSI
Alpine A110 1800	RWD	gravel	tyres.FL.camber	0°
Alpine A110 1800	RWD	gravel	tyres.FL.toe	0°
Alpine A110 1800	RWD	gravel	tyres.FR.pressure	32 PSI
Alpine A110 1800	RWD	gravel	tyres.FR.camber	0°
Alpine A110 1800	RWD	gravel	tyres.FR.toe	0°
Alpine A110 1800	RWD	gravel	tyres.RL.pressure	32 PSI
Alpine A110 1800	RWD	gravel	tyres.RL.camber	-2.5°
Alpine A110 1800	RWD	gravel	tyres.RL.toe	0°
Alpine A110 1800	RWD	gravel	tyres.RR.pressure	32 PSI
Alpine A110 1800	RWD	gravel	tyres.RR.camber	-2.5°
Alpine A110 1800	RWD	gravel	tyres.RR.toe	0°
Alpine A110 1800	RWD	gravel	brakes.brakeBias	50% front
Alpine A110 1800	RWD	gravel	brakes.propValvePressure	2.4
Alpine A110 1800	RWD	gravel	brakes.handbrakeMultiplier	1
Citroen Xsara WRC	AWD	tarmac	drivetrain.gearsSet	CitroenXsaraWRCSet0
Citroen Xsara WRC	AWD	tarmac	drivetrain.frontBias	50%
Citroen Xsara WRC	AWD	tarmac	drivetrain.frontDiff.ratio	25//25
Citroen Xsara WRC	AWD	tarmac	drivetrain.frontDiff.lsdRampAngle	50_60
Citroen Xsara WRC	AWD	tarmac	drivetrain.frontDiff.lsdPlates	6
Citroen Xsara WRC	AWD	tarmac	drivetrain.frontDiff.lsdPreload	80 Nm
Citroen Xsara WRC	AWD	tarmac	drivetrain.rearDiff.ratio	27//9
Citroen Xsara WRC	AWD	tarmac	drivetrain.rearDiff.lsdRampAngle	45_55
Citroen Xsara WRC	AWD	tarmac	drivetrain.rearDiff.lsdPlates	6
Citroen Xsara WRC	AWD	tarmac	drivetrain.rearDiff.lsdPreload	110 Nm
Citroen Xsara WRC	AWD	tarmac	drivetrain.centreDiffRatio	37//26
Citroen Xsara WRC	AWD	tarmac	suspension.frontARB	12500 N/m
Citroen Xsara WRC	AWD	tarmac	suspension.rearARB	7500 N/m
Citroen Xsara WRC	AWD	tarmac	suspension.springs.FL	47500 N/m
Citroen Xsara WRC	AWD	tarmac	suspension.springs.FR	47500 N/m
Citroen Xsara WRC	AWD	tarmac	suspension.springs.RL	50000 N/m
Citroen Xsara WRC	AWD	tarmac	suspension.springs.RR	50000 N/m
Citroen Xsara WRC	AWD	tarmac	suspension.rideHeight.FL	76.0 mm
Citroen Xsara WRC	AWD	tarmac	suspension.rideHeight.FR	76.0 mm
Citroen Xsara WRC	AWD	tarmac	suspension.rideHeight.RL	57.0 mm
Citroen Xsara WRC	AWD	tarmac	suspension.rideHeight.RR	57.0 mm
Citroen Xsara WRC	AWD	tarmac	dampers.FL.slowBump	4250
Citroen Xsara WRC	AWD	tarmac	dampers.FL.slowRebound	5250
Citroen Xsara WRC	AWD	tarmac	dampers.FL.fastBump	3500
Citroen Xsara WRC	AWD	tarmac	dampers.FL.fastRebound	4750
Citroen Xsara WRC	AWD	tarmac	dampers.FR.slowBump	4250
Citroen Xsara WRC	AWD	tarmac	dampers.FR.slowRebound	5250
Citroen Xsara WRC	AWD	tarmac	dampers.FR.fastBump	3500
Citroen Xsara WRC	AWD	tarmac	dampers.FR.fastRebound	4750
Citroen Xsara WRC	AWD	tarmac	dampers.RL.slowBump	3750
Citroen Xsara WRC	AWD	tarmac	dampers.RL.slowRebound	4750
Citroen Xsara WRC	AWD	tarmac	dampers.RL.fastBump	3250
Citroen Xsara WRC	AWD	tarmac	dampers.RL.fastRebound	4250
Citroen Xsara WRC	AWD	tarmac	dampers.RR.slowBump	3750
Citroen Xsara WRC	AWD	tarmac	dampers.RR.slowRebound	4750
Citroen Xsara WRC	AWD	tarmac	dampers.RR.fastBump	3250
Citroen Xsara WRC	AWD	tarmac	dampers.RR.fastRebound	4250
Citroen Xsara WRC	AWD	tarmac	tyres.FL.pressure	32 PSI
Citroen Xsara WRC	AWD	tarmac	tyres.FL.camber	-1.7°
Citroen Xsara WRC	AWD	tarmac	tyres.FL.toe	0°
Citroen Xsara WRC	AWD	tarmac	tyres.FR.pressure	32 PSI
Citroen Xsara WRC	AWD	tarmac	tyres.FR.camber	-1.7°
Citroen Xsara WRC	AWD	tarmac	tyres.FR.toe	0°
Citroen Xsara WRC	AWD	tarmac	tyres.RL.pressure	32 PSI
Citroen Xsara WRC	AWD	tarmac	tyres.RL.camber	-2.3°
Citroen Xsara WRC	AWD	tarmac	tyres.RL.toe	0°
Citroen Xsara WRC	AWD	tarmac	tyres.RR.pressure	32 PSI
Citroen Xsara WRC	AWD	tarmac	tyres.RR.camber	-2.3°
Citroen Xsara WRC	AWD	tarmac	tyres.RR.toe	0°
Citroen Xsara WRC	AWD	tarmac	brakes.brakeBias	60% front
Citroen Xsara WRC	AWD	tarmac	brakes.propValvePressure	2.75
Citroen Xsara WRC	AWD	tarmac	brakes.handbrakeMultiplier	1
Citroen Xsara WRC	AWD	gravel	drivetrain.gearsSet	CitroenXsaraWRCSet4
Citroen Xsara WRC	AWD	gravel	drivetrain.frontBias	50%
Citroen Xsara WRC	AWD	gravel	drivetrain.frontDiff.ratio	25//25
Citroen Xsara WRC	AWD	gravel	drivetrain.frontDiff.lsdRampAngle	50_60
Citroen Xsara WRC	AWD	gravel	drivetrain.frontDiff.lsdPlates	6
Citroen Xsara WRC	AWD	gravel	drivetrain.frontDiff.lsdPreload	80 Nm
Citroen Xsara WRC	AWD	gravel	drivetrain.rearDiff.ratio	27//9
Citroen Xsara WRC	AWD	gravel	drivetrain.rearDiff.lsdRampAngle	45_55
Citroen Xsara WRC	AWD	gravel	drivetrain.rearDiff.lsdPlates	6
Citroen Xsara WRC	AWD	gravel	drivetrain.rearDiff.lsdPreload	110 Nm
Citroen Xsara WRC	AWD	gravel	drivetrain.centreDiffRatio	39//24
Citroen Xsara WRC	AWD	gravel	suspension.frontARB	9500 N/m
Citroen Xsara WRC	AWD	gravel	suspension.rearARB	12500 N/m
Citroen Xsara WRC	AWD	gravel	suspension.springs.FL	37500 N/m
Citroen Xsara WRC	AWD	gravel	suspension.springs.FR	37500 N/m
Citroen Xsara WRC	AWD	gravel	suspension.springs.RL	40000 N/m
